Number of Cyc., xdisp_rel (FISH), xdisp_meas (FISH)
5690, 6.2528737E-003, 1.0200000E-001
5700, 6.2881503E-003, 1.0200000E-001
5710, 6.3200838E-003, 1.0200000E-001
5720, 6.3519412E-003, 1.0200000E-001
5730, 6.3834003E-003, 1.0200000E-001
5740, 6.4157445E-003, 1.0200000E-001
5750, 6.4469941E-003, 1.0200000E-001
5760, 6.4787107E-003, 1.0200000E-001
5770, 6.5072105E-003, 1.0200000E-001
5780, 6.5312365E-003, 1.0200000E-001
5790, 6.5517494E-003, 1.0200000E-001
5800, 6.5740236E-003, 1.0200000E-001
5810, 6.5952574E-003, 1.0200000E-001
5820, 6.6161723E-003, 1.0200000E-001
5830, 6.6413174E-003, 1.0200000E-001
5840, 6.6612617E-003, 1.0200000E-001
5850, 6.6791681E-003, 1.0200000E-001
5860, 6.6987386E-003, 1.0200000E-001
5870, 6.7196028E-003, 1.0200000E-001
5880, 6.7408536E-003, 1.0200000E-001
5890, 6.7576043E-003, 1.0200000E-001
5900, 6.7744082E-003, 1.0200000E-001
5910, 6.7933295E-003, 1.0200000E-001
5920, 6.8150960E-003, 1.0200000E-001
5930, 6.8401865E-003, 1.0200000E-001
5940, 6.8617609E-003, 1.0200000E-001
5950, 6.8806133E-003, 1.0200000E-001
5960, 6.8992398E-003, 1.0200000E-001
5970, 6.9195416E-003, 1.0200000E-001
5980, 6.9413384E-003, 1.0200000E-001
5990, 6.9622736E-003, 1.0200000E-001
6000, 6.9775363E-003, 1.0200000E-001
6010, 6.9915595E-003, 1.0200000E-001
6020, 7.0069203E-003, 1.0200000E-001
6030, 7.0201710E-003, 1.0200000E-001
6040, 7.0333891E-003, 1.0200000E-001
6050, 7.0446371E-003, 1.0200000E-001
6060, 7.0537280E-003, 1.0200000E-001
6070, 7.0637529E-003, 1.0200000E-001
6080, 7.0743817E-003, 1.0200000E-001
6090, 7.0864102E-003, 1.0200000E-001
6100, 7.0997772E-003, 1.0200000E-001
6110, 7.1125096E-003, 1.0200000E-001
6120, 7.1245226E-003, 1.0200000E-001
6130, 7.1350365E-003, 1.0200000E-001
6140, 7.1444372E-003, 1.0200000E-001
6150, 7.1534082E-003, 1.0200000E-001
6160, 7.1628730E-003, 1.0200000E-001
6170, 7.1741793E-003, 1.0200000E-001
6180, 7.1880437E-003, 1.0200000E-001
6190, 7.2018739E-003, 1.0200000E-001
6200, 7.2139059E-003, 1.0200000E-001
6210, 7.2253643E-003, 1.0200000E-001
6220, 7.2372708E-003, 1.0200000E-001
6230, 7.2505513E-003, 1.0200000E-001
6240, 7.2649229E-003, 1.0200000E-001
6250, 7.2799197E-003, 1.0200000E-001
6260, 7.2943320E-003, 1.0200000E-001
6270, 7.3089102E-003, 1.0200000E-001
6280, 7.3245747E-003, 1.0200000E-001
6290, 7.3403567E-003, 1.0200000E-001
6300, 7.3557874E-003, 1.0200000E-001
6310, 7.3704339E-003, 1.0200000E-001
6320, 7.3866665E-003, 1.0200000E-001
6330, 7.4040677E-003, 1.0200000E-001
6340, 7.4229261E-003, 1.0200000E-001
6350, 7.4429690E-003, 1.0200000E-001
6360, 7.4611302E-003, 1.0200000E-001
6370, 7.4766241E-003, 1.0200000E-001
6380, 7.4899866E-003, 1.0200000E-001
6390, 7.5015983E-003, 1.0200000E-001
6400, 7.5148079E-003, 1.0200000E-001
6410, 7.5261612E-003, 1.0200000E-001
6420, 7.5378476E-003, 1.0200000E-001
6430, 7.5492303E-003, 1.0200000E-001
6440, 7.5602844E-003, 1.0200000E-001
6450, 7.5702254E-003, 1.0200000E-001
6460, 7.5781950E-003, 1.0200000E-001
6470, 7.5864065E-003, 1.0200000E-001
6480, 7.5949881E-003, 1.0200000E-001
6490, 7.6044980E-003, 1.0200000E-001
6500, 7.6147028E-003, 1.0200000E-001
6510, 7.6252869E-003, 1.0200000E-001
6520, 7.6357106E-003, 1.0200000E-001
6530, 7.6475593E-003, 1.0200000E-001
6540, 7.6607377E-003, 1.0200000E-001
6550, 7.6754596E-003, 1.0200000E-001
6560, 7.6918615E-003, 1.0200000E-001
6570, 7.7085169E-003, 1.0200000E-001
6580, 7.7234592E-003, 1.0200000E-001
6590, 7.7403378E-003, 1.0200000E-001
6600, 7.7570691E-003, 1.0200000E-001
6610, 7.7707539E-003, 1.0200000E-001
6620, 7.7833484E-003, 1.0200000E-001
6630, 7.7966820E-003, 1.0200000E-001
6640, 7.8122676E-003, 1.0200000E-001
6650, 7.8303265E-003, 1.0200000E-001
6660, 7.8513644E-003, 1.0200000E-001
6670, 7.8719587E-003, 1.0200000E-001
6680, 7.8897647E-003, 1.0200000E-001
6690, 7.9047919E-003, 1.0200000E-001
6700, 7.9191725E-003, 1.0200000E-001
6710, 7.9371949E-003, 1.0200000E-001
6720, 7.9580565E-003, 1.0200000E-001
6730, 7.9777180E-003, 1.0200000E-001
6740, 7.9954726E-003, 1.0200000E-001
6750, 8.0106552E-003, 1.0200000E-001
6760, 8.0225313E-003, 1.0200000E-001
6770, 8.0332805E-003, 1.0200000E-001
6780, 8.0443478E-003, 1.0200000E-001
6790, 8.0563281E-003, 1.0200000E-001
6800, 8.0688548E-003, 1.0200000E-001
6810, 8.0794499E-003, 1.0200000E-001
6820, 8.0902822E-003, 1.0200000E-001
6830, 8.1009943E-003, 1.0200000E-001
6840, 8.1109589E-003, 1.0200000E-001
6850, 8.1199875E-003, 1.0200000E-001
6860, 8.1295157E-003, 1.0200000E-001
6870, 8.1397337E-003, 1.0200000E-001
6880, 8.1503235E-003, 1.0200000E-001
6890, 8.1633026E-003, 1.0200000E-001
6900, 8.1792111E-003, 1.0200000E-001
6910, 8.1961715E-003, 1.0200000E-001
6920, 8.2127483E-003, 1.0200000E-001
6930, 8.2279673E-003, 1.0200000E-001
6940, 8.2435014E-003, 1.0200000E-001
6950, 8.2604594E-003, 1.0200000E-001
6960, 8.2777041E-003, 1.0200000E-001
6970, 8.2931790E-003, 1.0200000E-001
6980, 8.3057751E-003, 1.0200000E-001
6990, 8.3164307E-003, 1.0200000E-001
7000, 8.3264829E-003, 1.0200000E-001
7010, 8.3376629E-003, 1.0200000E-001
7020, 8.3509476E-003, 1.0200000E-001
7030, 8.3644818E-003, 1.0200000E-001
7040, 8.3788633E-003, 1.0200000E-001
7050, 8.3960079E-003, 1.0200000E-001
7060, 8.4143935E-003, 1.0200000E-001
7070, 8.4332632E-003, 1.0200000E-001
7080, 8.4527529E-003, 1.0200000E-001
7090, 8.4732738E-003, 1.0200000E-001
7100, 8.4928488E-003, 1.0200000E-001
7110, 8.5064765E-003, 1.0200000E-001
7120, 8.5156640E-003, 1.0200000E-001
7130, 8.5243298E-003, 1.0200000E-001
7140, 8.5327051E-003, 1.0200000E-001
7150, 8.5420844E-003, 1.0200000E-001
7160, 8.5489873E-003, 1.0200000E-001
7170, 8.5570186E-003, 1.0200000E-001
7180, 8.5669600E-003, 1.0200000E-001
7190, 8.5786857E-003, 1.0200000E-001
7200, 8.5932938E-003, 1.0200000E-001
7210, 8.6101820E-003, 1.0200000E-001
7220, 8.6283037E-003, 1.0200000E-001
7230, 8.6474296E-003, 1.0200000E-001
7240, 8.6651981E-003, 1.0200000E-001
7250, 8.6818561E-003, 1.0200000E-001
7260, 8.6962903E-003, 1.0200000E-001
7270, 8.7056225E-003, 1.0200000E-001
7280, 8.7138148E-003, 1.0200000E-001
7290, 8.7230545E-003, 1.0200000E-001
7300, 8.7337821E-003, 1.0200000E-001
7310, 8.7451317E-003, 1.0200000E-001
7320, 8.7581517E-003, 1.0200000E-001
7330, 8.7720768E-003, 1.0200000E-001
7340, 8.7885067E-003, 1.0200000E-001
7350, 8.8087587E-003, 1.0200000E-001
7360, 8.8309628E-003, 1.0200000E-001
7370, 8.8556675E-003, 1.0200000E-001
7380, 8.8819055E-003, 1.0200000E-001
7390, 8.9082724E-003, 1.0200000E-001
7400, 8.9352533E-003, 1.0200000E-001
7410, 8.9558263E-003, 1.0200000E-001
7420, 8.9693509E-003, 1.0200000E-001
7430, 8.9807372E-003, 1.0200000E-001
7440, 8.9904391E-003, 1.0200000E-001
7450, 8.9990920E-003, 1.0200000E-001
7460, 9.0101326E-003, 1.0200000E-001
7470, 9.0220640E-003, 1.0200000E-001
7480, 9.0343374E-003, 1.0200000E-001
7490, 9.0465681E-003, 1.0200000E-001
7500, 9.0598131E-003, 1.0200000E-001
7510, 9.0753435E-003, 1.0200000E-001
7520, 9.0921853E-003, 1.0200000E-001
7530, 9.1062178E-003, 1.0200000E-001
7540, 9.1167709E-003, 1.0200000E-001
7550, 9.1262282E-003, 1.0200000E-001
7560, 9.1341863E-003, 1.0200000E-001
7570, 9.1423651E-003, 1.0200000E-001
7580, 9.1540547E-003, 1.0200000E-001
7590, 9.1669999E-003, 1.0200000E-001
7600, 9.1792505E-003, 1.0200000E-001
7610, 9.1921455E-003, 1.0200000E-001
7620, 9.2061481E-003, 1.0200000E-001
7630, 9.2213831E-003, 1.0200000E-001
7640, 9.2365603E-003, 1.0200000E-001
7650, 9.2525371E-003, 1.0200000E-001
7660, 9.2717191E-003, 1.0200000E-001
