"","x"
"827",-11.4000005722046
"828",-15.4000005722046
"829",-17.8999996185303
"830",-20
"831",-8.10000038146973
"832",-5.09999990463257
"833",4
"834",12.3000001907349
"835",12.3000001907349
"836",10.9000005722046
"837",5
"838",-0.600000023841858
"839",-10.3000001907349
"840",-9.60000038146973
"841",-13.4000005722046
"842",-13.6999998092651
"843",-13.6000003814697
"844",-4.30000019073486
"845",3.10000014305115
"846",9.80000019073486
"847",10.9000005722046
"848",10
"849",4.80000019073486
"850",-0.900000035762787
"851",-11.9000005722046
"852",-9.5
"853",-15.5
"854",-13
"855",-7.5
"856",-2.70000004768372
"857",3.29999995231628
"858",12
"859",14.3000001907349
"860",10.4000005722046
"861",4.59999990463257
"862",0.100000001490116
"863",-8.40000057220459
"864",-7.40000009536743
"865",-9.10000038146973
"866",-13.5
"867",-5.5
"868",-4.20000028610229
"869",3.20000004768372
"870",10.1999998092651
"871",14.9000005722046
"872",8.90000057220459
"873",3.29999995231628
"874",-3.5
"875",-11
"876",-16.3000011444092
"877",-10.3000001907349
"878",-10.4000005722046
"879",-7.59999990463257
"880",-1
"881",4.40000009536743
"882",11
"883",11.6999998092651
"884",10.3000001907349
"885",7.20000028610229
"886",-1.10000002384186
"887",-8.80000019073486
"888",-11.9000005722046
"889",-13.1000003814697
"890",-7.30000019073486
"891",-5.90000009536743
"892",-3.5
"893",3.79999995231628
"894",7.30000019073486
"895",10.3000001907349
"896",9.40000057220459
"897",6
"898",0.900000035762787
"899",-5.70000028610229
"900",-11.5
"901",-19.6000003814697
"902",-10.4000005722046
"903",-10.3000001907349
"904",-3.5
"905",5.40000009536743
"906",9
"907",11.3000001907349
"908",10.4000005722046
"909",2.5
"910",-2
"911",-8.40000057220459
"912",-14.6999998092651
"913",-16.5
"914",-17.3999996185303
"915",-7
"916",-5.40000009536743
"917",1.80000007152557
"918",7.70000028610229
"919",11.1000003814697
"920",10
"921",4.20000028610229
"922",0
"923",-8.10000038146973
"924",-10.1999998092651
"925",-16.7000007629395
"926",-17.5
"927",-9.40000057220459
"928",-4.20000028610229
"929",3.5
"930",10.4000005722046
"931",12.6999998092651
"932",9.5
"933",4.5
"934",-1.20000004768372
"935",-7.59999990463257
"936",-20.6000003814697
"937",-19.8999996185303
"938",-15.1999998092651
"939",-8
"940",-3.10000014305115
"941",3.29999995231628
"942",10.6000003814697
"943",12.6999998092651
"944",10.8000001907349
"945",4.80000019073486
"946",-2.20000004768372
"947",-7.80000019073486
"948",-12.5
"949",-18.2000007629395
"950",-17.2000007629395
"951",-11
"952",-0.900000035762787
"953",3.79999995231628
"954",12.5
"955",14.1000003814697
"956",11.1999998092651
"957",6.40000009536743
"958",-2.40000009536743
"959",-12.1000003814697
"960",-16.8000011444092
"961",-15
"962",-15.4000005722046
"963",-14
"964",-2.60000014305115
"965",5.70000028610229
"966",7.09999990463257
"967",11.6999998092651
"968",9.19999980926514
"969",5.59999990463257
"970",-0.800000011920929
"971",-10.1000003814697
"972",-19.7000007629395
"973",-17.7000007629395
"974",-9
"975",-6.30000019073486
"976",-2.10000014305115
"977",3
"978",6.70000028610229
"979",11.6999998092651
"980",10.1000003814697
"981",4.90000009536743
"982",0.100000001490116
"983",-7
"984",-10.9000005722046
"985",-13.1999998092651
"986",-11.5
"987",-8.90000057220459
"988",-1.39999997615814
"989",5.59999990463257
"990",8.60000038146973
"991",11.6000003814697
"992",8.60000038146973
"993",6.30000019073486
"994",-0.800000011920929
"995",-10.6999998092651
"996",-13.6000003814697
"997",-18.2000007629395
"998",-9.10000038146973
"999",-10.4000005722046
"1000",-1.20000004768372
"1001",7.20000028610229
"1002",9.90000057220459
"1003",10.8000001907349
"1004",9.60000038146973
"1005",4.70000028610229
"1006",-0.100000001490116
"1007",-9.30000019073486
"1008",-9.5
"1009",-19.8000011444092
"1010",-22.6000003814697
"1011",-8.80000019073486
"1012",-4.80000019073486
"1013",2.40000009536743
"1014",10
"1015",12.4000005722046
"1016",10.6000003814697
"1017",4.90000009536743
"1018",1.10000002384186
"1019",-10.1000003814697
"1020",-19.7000007629395
"1021",-20.8999996185303
"1022",-13.6000003814697
"1023",-5.59999990463257
"1024",-3.90000009536743
"1025",4.90000009536743
"1026",11.8000001907349
"1027",11.9000005722046
"1028",8.40000057220459
"1029",3.10000014305115
"1030",1.10000002384186
"1031",-5.70000028610229
"1032",-17.3999996185303
"1033",-21
"1034",-15.6000003814697
"1035",-11.6000003814697
"1036",-2.70000004768372
"1037",2.79999995231628
"1038",9.10000038146973
"1039",10.9000005722046
"1040",7.90000009536743
"1041",4.80000019073486
"1042",3.60000014305115
"1043",-7.59999990463257
"1044",-13.1000003814697
"1045",-13.4000005722046
"1046",-14
"1047",-10.9000005722046
"1048",-4.80000019073486
"1049",4.30000019073486
"1050",10.6999998092651
"1051",14.1999998092651
"1052",10.3000001907349
"1053",6.59999990463257
"1054",-0.600000023841858
"1055",-9.30000019073486
"1056",-12.6999998092651
"1057",-8.5
"1058",-8.90000057220459
"1059",-5.80000019073486
"1060",-0.900000035762787
