index,czas_start,czas_stop,n,ns,multiline,l,t
330,1622.706,1625.5,1,1,False,38,2.7940000000000964
331,1625.583,1627.293,1,1,False,24,1.709999999999809
332,1628.294,1630.38,1,1,False,28,2.0860000000000127
333,1631.798,1633.299,1,1,False,15,1.5009999999999764
334,1633.383,1635.885,1,1,False,19,2.5019999999999527
335,1636.386,1638.013,1,1,False,25,1.6269999999999527
336,1638.096,1639.806,1,1,False,27,1.7100000000000364
337,1641.099,1642.1,1,1,False,7,1.0009999999999764
338,1642.892,1645.895,1,1,False,38,3.002999999999929
339,1648.189,1651.484,2,2,True,47,3.2949999999998454
340,1651.609,1653.695,1,1,False,38,2.0860000000000127
341,1654.696,1656.406,2,2,True,26,1.7100000000000364
342,1657.198,1658.616,1,1,False,15,1.4179999999998927
343,1658.7,1660.994,1,1,False,17,2.293999999999869
344,1661.119,1663.997,1,1,False,24,2.8780000000001564
345,1666.416,1668.918,1,1,False,11,2.5019999999999527
346,1669.794,1671.796,1,1,False,17,2.0019999999999527
347,1672.797,1673.798,1,1,False,4,1.0009999999999764
348,1673.882,1674.883,1,1,False,20,1.0009999999999764
349,1676.801,1677.802,1,1,False,16,1.0009999999999764
350,1677.886,1679.804,1,1,False,12,1.91800000000012
351,1683.099,1684.684,1,1,False,24,1.5850000000000364
352,1702.41,1703.411,1,1,False,5,1.0009999999999764
353,1705.413,1706.998,1,1,False,30,1.5850000000000364
354,1707.707,1710.21,2,2,True,49,2.502999999999929
355,1710.293,1712.587,2,2,True,48,2.2940000000000964
356,1712.712,1715.382,2,2,True,49,2.6700000000000728
357,1716.299,1718.218,1,1,False,27,1.9190000000000964
358,1718.301,1719.511,1,1,False,13,1.2100000000000364
359,1719.594,1720.887,1,1,False,19,1.2929999999998927
360,1721.012,1724.391,1,1,False,38,3.379000000000133
361,1724.516,1727.018,2,2,True,41,2.5019999999999527
362,1727.102,1729.312,2,2,True,35,2.209999999999809
363,1729.396,1731.981,1,1,False,27,2.5850000000000364
364,1734.401,1736.903,1,1,False,29,2.5019999999999527
365,1737.904,1741.199,1,1,False,30,3.2950000000000728
366,1741.282,1744.494,2,2,True,48,3.211999999999989
367,1744.619,1748.206,2,2,True,45,3.586999999999989
368,1748.289,1749.708,1,1,False,16,1.4190000000000964
369,1749.791,1754.796,2,2,True,61,5.005000000000109
370,1754.796,1755.797,1,1,False,4,1.0009999999999764
371,1757.799,1761.011,1,1,False,22,3.211999999999989
372,1762.095,1764.305,1,1,False,31,2.2100000000000364
373,1764.305,1768.018,1,1,False,31,3.7129999999999654
374,1769.602,1773.189,1,1,False,30,3.586999999999989
375,1773.314,1774.607,1,1,False,22,1.2929999999998927
376,1774.691,1776.818,1,1,False,15,2.1269999999999527
377,1776.901,1781.906,2,2,True,47,5.004999999999882
378,1781.906,1784.701,1,1,False,29,2.7950000000000728
379,1786.286,1787.704,1,1,False,14,1.4179999999998927
380,1787.787,1789.497,1,1,False,19,1.7100000000000364
381,1790.498,1791.499,1,1,False,6,1.0009999999999764
382,1793.418,1794.419,1,1,False,5,1.0010000000002037
383,1794.502,1797.505,1,1,False,34,3.0030000000001564
384,1797.589,1801.718,2,2,True,72,4.129000000000133
385,1801.801,1804.596,2,2,True,53,2.7950000000000728
386,1804.679,1807.098,2,2,True,45,2.418999999999869
387,1807.182,1811.019,1,1,False,30,3.836999999999989
388,1811.102,1812.687,2,2,True,24,1.584999999999809
389,1812.812,1816.191,2,2,True,52,3.379000000000133
390,1817.108,1822.697,2,2,True,58,5.588999999999942
391,1822.781,1825.2,1,1,False,19,2.4190000000000964
392,1825.2,1826.201,1,1,False,4,1.0009999999999764
393,1827.118,1828.703,1,1,False,24,1.5850000000000364
394,1829.496,1831.706,1,1,False,28,2.209999999999809
395,1831.79,1833.583,1,1,False,29,1.79300000000012
396,1833.708,1836.586,2,2,True,51,2.877999999999929
397,1836.711,1838.797,1,1,False,26,2.0860000000000127
398,1838.88,1839.881,1,1,False,15,1.0009999999999764
399,1840.006,1841.883,1,1,False,22,1.8769999999999527
400,1842.801,1844.386,1,1,False,6,1.5850000000000364
401,1845.095,1847.681,1,1,False,26,2.5860000000000127
402,1849.307,1850.392,1,1,False,6,1.0850000000000364
403,1851.518,1854.979,1,1,False,24,3.4610000000000127
404,1855.105,1857.315,1,1,False,19,2.2100000000000364
405,1857.982,1860.402,1,1,False,37,2.4200000000000728
406,1860.402,1862.112,1,1,False,38,1.7100000000000364
407,1862.195,1867.2,2,2,True,45,5.005000000000109
408,1867.2,1868.493,1,1,False,18,1.2929999999998927
409,1868.618,1870.995,1,1,False,35,2.3769999999999527
410,1870.995,1872.205,1,1,False,10,1.2100000000000364
411,1872.789,1875.083,1,1,False,28,2.2940000000000964
412,1877.21,1881.506,2,2,True,64,4.296000000000049
413,1883.008,1884.3,1,1,False,23,1.2919999999999163
414,1885.51,1889.389,2,2,True,52,3.8789999999999054
415,1890.598,1893.893,2,2,True,52,3.2950000000000728
416,1894.019,1895.186,1,1,False,4,1.1669999999999163
417,1895.311,1896.813,1,1,False,12,1.50200000000018
418,1896.896,1899.107,1,1,False,31,2.2110000000000127
419,1899.107,1900.692,1,1,False,16,1.5850000000000364
420,1900.692,1906.197,2,2,True,57,5.504999999999882
421,1906.281,1908.7,1,1,False,7,2.4190000000000964
422,1910.618,1911.911,1,1,False,12,1.29300000000012
423,1913.997,1915.79,1,1,False,27,1.7929999999998927
424,1917.208,1919.21,1,1,False,34,2.0019999999999527
425,1919.586,1920.795,1,1,False,13,1.20900000000006
